frameID, width, description, finish, retail, contractor, wholesale, dealer, cost, img
REP128002, 2.625, 13/16 X 2 5/8 Hall, Classic Black, $2.79, $2.52, $2.24, $2.07, $1.34, http://www.reparteegallery.com/ReparteeMoulding/REP128002.jpg
REP128111, 2.625, 13/16 X 2 5/8 Hall, Cappuccino, $2.79, $2.52, $2.24, $2.07, $1.34, http://www.reparteegallery.com/ReparteeMoulding/REP128111.jpg
REP129000, 2.000, 15/16 X 2 Hall, Raw Poplar, $1.60, $1.45, $1.29, $1.19, $0.77, http://www.reparteegallery.com/ReparteeMoulding/REP129000.jpg
REP129111, 2.000, 15/16 X 2 Hall, Cappuccino, $2.75, $2.49, $2.21, $2.04, $1.32, http://www.reparteegallery.com/ReparteeMoulding/REP129111.jpg
REP130000, 1.250, 3/4 X 1 1/4 Hamilton, Raw Poplar, $1.02, $0.92, $0.82, $0.76, $0.49, http://www.reparteegallery.com/ReparteeMoulding/REP130000.jpg
REP130111, 1.250, 3/4 X 1 1/4 Hamilton, Cappuccino, $2.17, $1.96, $1.74, $1.61, $1.04, http://www.reparteegallery.com/ReparteeMoulding/REP130111.jpg
REP130112, 1.250, 3/4 X 1 1/4 Hamilton, Champagne, $2.17, $1.96, $1.74, $1.61, $1.04, http://www.reparteegallery.com/ReparteeMoulding/REP130112.jpg
REP131000, 5.250, 1 3/4 X 5 1/4 Lincoln, Raw Poplar, $5.38, $4.86, $4.32, $3.99, $2.58, http://www.reparteegallery.com/ReparteeMoulding/REP131000.jpg
REP131111, 5.250, 1 3/4 X 5 1/4 Lincoln, Cappuccino, $6.52, $5.90, $5.24, $4.84, $3.13, http://www.reparteegallery.com/ReparteeMoulding/REP131111.jpg
REP131120, 5.250, 1 3/4 X 5 1/4 Lincoln, Dover White Brown Glaze, $7.09, $6.41, $5.69, $5.26, $3.40, http://www.reparteegallery.com/ReparteeMoulding/REP131120.jpg
REP131124, 5.250, 1 3/4 X 5 1/4 Lincoln, Love Gray Black Glaze, $7.09, $6.41, $5.69, $5.26, $3.40, http://www.reparteegallery.com/ReparteeMoulding/REP131124.jpg
REP131127, 5.250, 1 3/4 X 5 1/4 Lincoln, Antique White Gray Glaze, $7.09, $6.41, $5.69, $5.26, $3.40, http://www.reparteegallery.com/ReparteeMoulding/REP131127.jpg
REP131129, 5.250, 1 3/4 X 5 1/4 Lincoln, Love Gray with White Glaze, $7.09, $6.41, $5.69, $5.26, $3.40, http://www.reparteegallery.com/ReparteeMoulding/REP131129.jpg
REP132000, 1.000, 3/4 X 1 Cleveland, Raw Poplar, $0.92, $0.83, $0.74, $0.68, $0.44, http://www.reparteegallery.com/ReparteeMoulding/REP132000.jpg
REP133000, 3.250, 1 1/4 X 3 1/4 Lincoln, Raw Poplar, $2.71, $2.45, $2.18, $2.01, $1.30, http://www.reparteegallery.com/ReparteeMoulding/REP133000.jpg
REP133111, 3.250, 1 1/4 X 3 1/4 Lincoln, Cappuccino, $3.86, $3.49, $3.10, $2.86, $1.85, http://www.reparteegallery.com/ReparteeMoulding/REP133111.jpg
REP133118, 3.250, 1 1/4 X 3 1/4 Lincoln, Vandyke, $3.86, $3.49, $3.10, $2.86, $1.85, http://www.reparteegallery.com/ReparteeMoulding/REP133118.jpg
REP134000, 2.000, 1 5/16 X 2 Hall Cap, Raw Poplar, $1.83, $1.66, $1.47, $1.36, $0.88, http://www.reparteegallery.com/ReparteeMoulding/REP134000.jpg
REP135000, 4.750, 1 3/4 X 4 3/4 Two-Piece Grant, Raw Poplar, $4.09, $3.69, $3.28, $3.03, $1.96, http://www.reparteegallery.com/ReparteeMoulding/REP135000.jpg
REP135111, 4.750, 1 3/4 X 4 3/4 Two-Piece Grant, Cappuccino, $6.38, $5.77, $5.12, $4.74, $3.06, http://www.reparteegallery.com/ReparteeMoulding/REP135111.jpg
REP136000, 1.500, 1 5/16 X 3.5 Redford Two-Piece, Raw Poplar, $3.25, $2.94, $2.61, $2.41, $1.56, http://www.reparteegallery.com/ReparteeMoulding/REP136000.jpg
REP137000, 1.750, 1 3/4  X 3/4 Clock Mold, Raw Poplar, $0.79, $0.72, $0.64, $0.59, $0.38, http://www.reparteegallery.com/ReparteeMoulding/REP137000.jpg
REP137002, 1.750, 1 3/4  X 3/4 Clock Mold, Classic Black, $1.94, $1.75, $1.56, $1.44, $0.93, http://www.reparteegallery.com/ReparteeMoulding/REP137002.jpg
REP138000, 2.250, 2 1/4 X 3/4 Clock Mold, Raw Poplar, $0.79, $0.72, $0.64, $0.59, $0.38, http://www.reparteegallery.com/ReparteeMoulding/REP138000.jpg
REP139000, 1.250, 3/4 X 1 3/4 Hall Liner, Raw Poplar, $1.02, $0.92, $0.82, $0.76, $0.49, http://www.reparteegallery.com/ReparteeMoulding/REP139000.jpg
REP139112, 1.250, 3/4 X 1 3/4 Hall Liner, Champagne, $2.17, $1.96, $1.74, $1.61, $1.04, http://www.reparteegallery.com/ReparteeMoulding/REP139112.jpg
REP140000, 4.250, 1 1/4 X 4 1/4 Lincoln, Raw Poplar, $3.40, $3.07, $2.73, $2.52, $1.63, http://www.reparteegallery.com/ReparteeMoulding/REP140000.jpg
REP140111, 4.250, 1 1/4 X 4 1/4 Lincoln, Cappuccino, $4.54, $4.11, $3.65, $3.37, $2.18, http://www.reparteegallery.com/ReparteeMoulding/REP140111.jpg
REP140118, 4.250, 1 1/4 X 4 1/4 Lincoln, Vandyke, $4.54, $4.11, $3.65, $3.37, $2.18, http://www.reparteegallery.com/ReparteeMoulding/REP140118.jpg
REP141000, 3.500, 1 1/16 X 3 1/2 Whistler, Raw Poplar, $2.44, $2.20, $1.96, $1.81, $1.17, http://www.reparteegallery.com/ReparteeMoulding/REP141000.jpg
REP142000, 1.750, 3/4 X 1 3/4 SC Classic Style, Raw Poplar, $1.25, $1.13, $1.00, $0.93, $0.60, http://www.reparteegallery.com/ReparteeMoulding/REP142000.jpg
REP142002, 1.750, 3/4 X 1 3/4 SC Classic Style, Classic Black, $2.40, $2.17, $1.92, $1.78, $1.15, http://www.reparteegallery.com/ReparteeMoulding/REP142002.jpg
REP143000, 1.750, 3/4 X 1 3/4 Collegiate Mirror Style, Raw Poplar, $1.25, $1.13, $1.00, $0.93, $0.60, http://www.reparteegallery.com/ReparteeMoulding/REP143000.jpg
REP143002, 1.750, 3/4 X 1 3/4 Collegiate Mirror Style, Classic Black, $2.40, $2.17, $1.92, $1.78, $1.15, http://www.reparteegallery.com/ReparteeMoulding/REP143002.jpg
REP144000, 1.750, 3/4 X 1 3/4, Raw Poplar, $1.25, $1.13, $1.00, $0.93, $0.60, http://www.reparteegallery.com/ReparteeMoulding/REP144000.jpg
REP145000, 1.750, 3/4 X 1 1/4 Liner, Raw Poplar, $1.02, $0.92, $0.82, $0.76, $0.49, http://www.reparteegallery.com/ReparteeMoulding/REP145000.jpg
REP145112, 1.750, 3/4 X 1 1/4 Liner, Champagne, $2.17, $1.96, $1.74, $1.61, $1.04, http://www.reparteegallery.com/ReparteeMoulding/REP145112.jpg
REP145116, 1.750, 3/4 X 1 1/4 Liner, Gold Fleck, $2.17, $1.96, $1.74, $1.61, $1.04, http://www.reparteegallery.com/ReparteeMoulding/REP145116.jpg
REP146000, 1.750, 1 13/16 X 2 1/4 Franklin Cap, Raw Poplar, $2.56, $2.32, $2.06, $1.90, $1.23, http://www.reparteegallery.com/ReparteeMoulding/REP146000.jpg
REP146111, 1.750, 1 13/16 X 2 1/4 Franklin Cap, Cappuccino, $3.71, $3.35, $2.98, $2.75, $1.78, http://www.reparteegallery.com/ReparteeMoulding/REP146111.jpg
REP146118, 1.750, 1 13/16 X 2 1/4 Franklin Cap, Vandyke, $3.71, $3.35, $2.98, $2.75, $1.78, http://www.reparteegallery.com/ReparteeMoulding/REP146118.jpg
REP147000, 2.250, 1 13/16 X 2 1/4 Gospel Art Kit Cap, Raw Poplar, $2.56, $2.32, $2.06, $1.90, $1.23, http://www.reparteegallery.com/ReparteeMoulding/REP147000.jpg
REP148000, 1.250, 1 1/4 X 3 1/4 Shadow Box, Raw Poplar, $2.71, $2.45, $2.18, $2.01, $1.30, http://www.reparteegallery.com/ReparteeMoulding/REP148000.jpg
REP149000, 1.250, 1 1/4 X 4 1/4 Shadow Box, Raw Poplar, $3.40, $3.07, $2.73, $2.52, $1.63, http://www.reparteegallery.com/ReparteeMoulding/REP149000.jpg
REP149002, 1.250, 1 1/4 X 4 1/4 Shadow Box, Classic Black, $4.54, $4.11, $3.65, $3.37, $2.18, http://www.reparteegallery.com/ReparteeMoulding/REP149002.jpg
REP150000, 2.250, 1 X 2 1/4 Acadamie, Raw Poplar, $1.73, $1.56, $1.39, $1.28, $0.83, http://www.reparteegallery.com/ReparteeMoulding/REP150000.jpg
REP150133, 2.250, 1 X 2 1/4 Acadamie, Heather Gray, $2.88, $2.60, $2.31, $2.14, $1.38, http://www.reparteegallery.com/ReparteeMoulding/REP150133.jpg
REP151000, 1.000, 3/4 X 1 Liner, Raw Poplar, $0.92, $0.83, $0.74, $0.68, $0.44, http://www.reparteegallery.com/ReparteeMoulding/REP151000.jpg
REP151112, 1.000, 3/4 X 1 Liner, Champagne, $2.06, $1.87, $1.66, $1.53, $0.99, http://www.reparteegallery.com/ReparteeMoulding/REP151112.jpg
